shipping_id,shipping_country_id,shipping_pref,order_id,delivery_id,time_id,fee_id,shipping_name01,shipping_name02,shipping_kana01,shipping_kana02,shipping_company_name,shipping_tel01,shipping_tel02,shipping_tel03,shipping_fax01,shipping_fax02,shipping_fax03,shipping_zip01,shipping_zip02,shipping_zipcode,shipping_addr01,shipping_addr02,shipping_delivery_name,shipping_delivery_time,shipping_delivery_date,shipping_delivery_fee,shipping_commit_date,rank,create_date,update_date,del_flg
1,,13,1,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 13:03:57","2017-03-28 13:03:57",0
2,,13,2,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 13:13:42","2017-03-28 13:13:42",0
3,,13,3,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 13:26:11","2017-03-28 13:26:11",0
4,,13,4,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 14:25:41","2017-03-28 14:25:41",0
5,,13,5,1,,13,藁科,ちひろ,ワラシナ,チヒロ,,080,3008,0068,,,,114,0002,1140002,北区,王子5-2-2-424,サンプル業者,,,1000,,,"2017-03-28 14:48:53","2017-03-28 14:48:53",0
6,,13,6,1,,13,藁科,ちひろ,ワラシナ,チヒロ,,080,3008,0068,,,,114,0002,1140002,北区,王子5-2-2-424,サンプル業者,,,1000,,,"2017-03-28 14:49:42","2017-03-28 14:49:42",0
7,,13,7,1,,13,藁科,ちひろ,ワラシナ,チヒロ,,080,3008,0068,,,,114,0002,1140002,北区,王子5-2-2-424,サンプル業者,,,1000,,,"2017-03-28 14:50:25","2017-03-28 14:50:25",0
8,,13,8,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 15:13:58","2017-03-28 15:13:58",0
9,,13,9,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 15:16:31","2017-03-28 15:16:31",0
10,,13,10,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-28 15:29:36","2017-03-28 15:29:36",0
11,,19,11,1,,19,あ,あ,ア,ア,,111,1111,1111,,,,111,1111,1111111,a,a,サンプル業者,,,1000,,,"2017-03-28 15:33:12","2017-03-28 15:33:12",0
12,,3,12,1,,3,あ,た,ア,タ,,1111,111,1111,,,,111,4111,1114111,あ,あ,サンプル業者,,,1000,,,"2017-03-28 15:37:26","2017-03-28 15:37:26",0
13,,13,13,1,,13,鈴木,ケンタロア,スズキ,ケンタロウ,,03,5489,0488,,,,150,0044,1500044,渋谷区円山町,エルアルカサル,サンプル業者,,,1000,,,"2017-03-28 15:46:57","2017-03-28 15:46:57",0
14,,13,14,1,,13,鈴木,ケンタロア,スズキ,ケンタロウ,,03,5489,0488,,,,150,0044,1500044,渋谷区円山町,エルアルカサル,サンプル業者,,,1000,,,"2017-03-28 15:59:09","2017-03-28 15:59:09",0
15,,13,15,1,,13,小嶋,ケンジ,ケンジ,ケンジ,kojima,080,8080,8080,,,,154,0004,1540004,世田谷区太子堂,9898,サンプル業者,,,1000,,,"2017-03-28 19:59:18","2017-03-28 19:59:18",0
16,,13,16,1,,13,鈴木,健太郎,スズキ,ケンタロウ,,03,3881,5881,,,,150,0044,1500044,渋谷区円山町,エルアルカサル,サンプル業者,,,1000,,,"2017-03-28 20:38:03","2017-03-28 20:38:03",0
17,,13,17,1,,13,ああああ,ああああ,アアアア,アアアアア,,1111,1111,1111,,,,190,0164,1900164,あきる野市五日市11111,１１１,サンプル業者,,,1000,,,"2017-03-29 09:33:33","2017-03-29 09:33:33",0
18,,13,18,1,,13,藁科,ちひろ,ワラシナ,チヒロ,,080,3008,0068,,,,114,0002,1140002,北区王子,王子5-2-2-424,サンプル業者,,,1000,,,"2017-03-29 12:18:04","2017-03-29 12:18:04",0
19,,13,19,1,,13,鈴木,健太郎,スズキ,ケンタロウ,,03,5489,0488,,,,150,0044,1500044,渋谷区円山町,てるあるさ,サンプル業者,,,1000,,,"2017-03-29 13:33:14","2017-03-29 13:33:14",0
20,,13,20,1,,13,鈴木,健太郎,スズキ,ケンタロウ,,03,5489,0488,,,,150,0044,1500044,渋谷区円山町,てるあるさ,サンプル業者,,,1000,,,"2017-03-29 13:48:42","2017-03-29 13:48:42",0
21,,13,21,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 14:46:24","2017-03-29 14:46:24",0
22,,13,22,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 14:49:31","2017-03-29 14:49:31",0
23,,13,23,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 14:51:10","2017-03-29 14:51:10",0
24,,13,24,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 14:58:30","2017-03-29 14:58:30",0
25,,13,25,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:02:53","2017-03-29 15:02:53",0
26,,13,26,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:05:07","2017-03-29 15:05:07",0
27,,13,27,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:08:21","2017-03-29 15:08:21",0
28,,13,28,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:11:43","2017-03-29 15:11:43",0
29,,13,29,1,,13,テスト,テストテスト,テスト,テスト,テスト,03,1234,5678,,,,154,0014,1540014,世田谷区新町,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:33:28","2017-03-29 15:33:28",0
30,,13,30,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-29 15:49:07","2017-03-29 15:49:07",0
31,,13,31,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-30 16:45:32","2017-03-30 16:45:32",0
32,,13,32,1,,13,テスト,テスト,テスト,テスト,テスト,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-03-30 17:35:47","2017-03-30 17:35:47",0
33,,13,33,1,,13,テスト,テスト,テスト,テスト,,090,111,2222,,,,187,0035,1870035,小平市小川西町,"18-8プラムヤードK2 C-1",サンプル業者,,,1000,,,"2017-04-06 12:49:39","2017-04-06 12:49:39",0
34,,13,34,1,,13,上津原,剛,ウエツハラ,ゴウ,,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-04-10 11:50:16","2017-04-10 11:50:16",0
35,,13,35,1,,13,上津原,剛,ウエツハラ,ゴウ,,03,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-04-10 11:58:31","2017-04-10 11:58:31",0
36,,13,36,1,,13,小嶋,健児,コジマ,ケンジ,よくある,080,8080,8080,,,,154,0004,1540004,世田谷区太子堂,1-3-36ダイナシティ三宿221,サンプル業者,,,1000,,,"2017-04-13 11:15:13","2017-04-13 11:15:13",0
37,,13,37,1,,13,上津原,剛,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-05-08 11:09:48","2017-05-08 11:09:48",0
38,,13,38,1,,13,上津原,剛,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,1000,,,"2017-05-08 17:40:35","2017-05-08 17:40:35",0
39,,13,39,1,,13,上津原,剛,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,0,,,"2017-05-08 17:41:51","2017-05-08 17:41:51",0
40,,13,40,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,サンプル業者,,,0,,,"2017-05-10 11:07:49","2017-05-10 11:07:49",0
41,,13,41,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-11 17:27:27","2017-05-11 17:27:27",0
42,,13,42,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-11 17:29:28","2017-05-11 17:34:27",0
44,,13,44,1,,13,上津原,剛,ウエツハラ,ゴウ,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-15 10:42:19","2017-05-15 10:42:25",0
45,,13,45,2,,60,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,ヤマト運輸,,,0,,,"2017-05-15 10:56:23","2017-05-15 11:19:01",0
46,,13,46,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 18:52:16","2017-05-22 18:52:46",0
47,,13,47,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 18:56:55","2017-05-22 18:57:25",0
48,,13,48,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 19:07:25","2017-05-22 19:07:37",0
49,,13,49,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 19:16:33","2017-05-22 19:16:38",0
50,,13,50,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 19:18:06","2017-05-22 19:18:23",0
51,,13,51,1,,13,test,test,アアア,アアア,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-22 20:04:41","2017-05-22 20:04:41",0
52,,13,52,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:19:05","2017-05-23 18:20:23",0
53,,13,53,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:20:27","2017-05-23 18:22:40",0
54,,13,54,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:26:07","2017-05-23 18:26:18",0
55,,13,55,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:26:08","2017-05-23 18:26:23",0
56,,13,56,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:28:18","2017-05-23 18:28:36",0
57,,13,57,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:30:18","2017-05-23 18:30:45",0
58,,13,58,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:32:33","2017-05-23 18:32:44",0
59,,13,59,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:32:47","2017-05-23 18:33:12",0
60,,1,60,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 18:33:17","2017-05-23 18:34:17",0
61,,13,61,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:34:09","2017-05-23 18:34:23",0
62,,13,62,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:35:27","2017-05-23 18:35:33",0
63,,13,63,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:36:02","2017-05-23 18:36:22",0
64,,13,64,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:37:39","2017-05-23 18:38:04",0
65,,13,65,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:38:11","2017-05-23 18:38:17",0
66,,13,66,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:40:44","2017-05-23 18:43:02",0
67,,13,67,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:43:15","2017-05-23 18:43:15",0
68,,13,68,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:44:55","2017-05-23 18:45:07",0
69,,13,69,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:46:00","2017-05-23 18:46:06",0
70,,13,70,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:46:17","2017-05-23 18:46:26",0
71,,1,71,1,,1,a,a,ア,ア,,00,0000,0000,,,,000,0000,0000000,あ,あ,佐川急便,,,0,,,"2017-05-23 18:47:16","2017-05-23 18:48:27",0
72,,13,72,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:47:58","2017-05-23 18:48:06",0
73,,13,73,1,,13,テスト,テスト,テスト,テスト,,090,1234,5678,,,,154,0001,1540001,世田谷区池尻,1-1-1,佐川急便,,,0,,,"2017-05-23 18:49:34","2017-05-23 18:49:53",0
74,,13,74,1,,13,テスト津田1,テスト津田1,テストツダ,テストツダ,テスト会社,042,341,7768,,,,187,0035,1870035,小平市小川西町5-18-8,アパート,佐川急便,,,0,,,"2017-05-23 18:50:39","2017-05-23 18:50:45",0
75,,13,75,1,,13,テスト津田2,テスト津田2,テストツダ,テストツダ,テストカイシャメイ,111,222,3333,,,,182,0036,1820036,調布市飛田給,味の素スタジアム,佐川急便,,,0,,,"2017-05-23 18:52:41","2017-05-23 18:52:45",0
